,precision,recall,f1-score,support
0.0,0.8809523809523809,0.888,0.8844621513944223,250.0
1.0,0.8770491803278688,0.856,0.8663967611336031,250.0
2.0,0.8833333333333333,0.848,0.8653061224489796,250.0
3.0,0.8863636363636364,0.936,0.9105058365758756,250.0
accuracy,0.882,0.882,0.882,0.882
macro avg,0.8819246327443048,0.882,0.8816677178882202,1000.0
weighted avg,0.8819246327443049,0.882,0.8816677178882202,1000.0
