,precision,recall,f1-score,support
0.0,0.9578544061302682,1.0,0.9784735812133072,250.0
1.0,0.9957983193277311,0.948,0.9713114754098361,250.0
2.0,0.9877551020408163,0.968,0.9777777777777779,250.0
3.0,0.96484375,0.988,0.9762845849802372,250.0
accuracy,0.976,0.976,0.976,0.976
macro avg,0.9765628943747039,0.976,0.9759618548452896,1000.0
weighted avg,0.9765628943747039,0.976,0.9759618548452895,1000.0
