,precision,recall,f1-score,support
0.0,0.9398496240601504,1.0,0.9689922480620156,250.0
1.0,0.9957264957264957,0.932,0.962809917355372,250.0
2.0,0.9757085020242915,0.964,0.9698189134808852,250.0
3.0,0.9604743083003953,0.972,0.9662027833001987,250.0
accuracy,0.967,0.967,0.967,0.967
macro avg,0.9679397325278332,0.967,0.9669559655496178,1000.0
weighted avg,0.9679397325278333,0.967,0.9669559655496179,1000.0
