,precision,recall,f1-score,support
0.0,0.25,0.328,0.28373702422145325,250.0
1.0,0.31309904153354634,0.392,0.34813499111900537,250.0
2.0,0.29906542056074764,0.128,0.17927170868347336,250.0
3.0,0.373015873015873,0.376,0.37450199203187257,250.0
accuracy,0.306,0.306,0.306,0.306
macro avg,0.3087950837775418,0.306,0.2964114290139512,1000.0
weighted avg,0.3087950837775418,0.306,0.2964114290139511,1000.0
