,precision,recall,f1-score,support
0.0,0.975609756097561,0.96,0.9677419354838709,250.0
1.0,0.9575289575289575,0.992,0.9744597249508842,250.0
2.0,0.9833333333333333,0.944,0.9632653061224489,250.0
3.0,0.9607843137254902,0.98,0.9702970297029702,250.0
accuracy,0.969,0.969,0.969,0.969
macro avg,0.9693140901713355,0.969,0.9689409990650436,1000.0
weighted avg,0.9693140901713355,0.969,0.9689409990650435,1000.0
