,precision,recall,f1-score,support
0.0,0.8195909157796635,0.8016984934267345,0.8105459749205656,20842.0
1.0,0.8147799365582871,0.7871953263420006,0.8007501400423781,20883.0
2.0,0.7156740113537958,0.7169156626506024,0.7162942989214175,20750.0
3.0,0.7743292765687916,0.8158935977499165,0.7945682451253482,20977.0
accuracy,0.7805564875617121,0.7805564875617121,0.7805564875617121,0.7805564875617121
macro avg,0.7810935350651345,0.7804257700423135,0.7805396647524274,83452.0
weighted avg,0.7811712631452962,0.7805564875617121,0.780643114178369,83452.0
