,precision,recall,f1-score,support
0.0,0.33840304182509506,0.356,0.3469785575048733,250.0
1.0,0.3333333333333333,0.012,0.02316602316602317,250.0
2.0,0.26,0.26,0.26,250.0
3.0,0.3054393305439331,0.584,0.4010989010989012,250.0
accuracy,0.303,0.303,0.303,0.303
macro avg,0.3092939264255904,0.303,0.25781087044244944,1000.0
weighted avg,0.3092939264255904,0.303,0.25781087044244944,1000.0
