,precision,recall,f1-score,support
0.0,0.3063063063063063,0.68,0.422360248447205,250.0
1.0,0.0,0.0,0.0,250.0
2.0,0.0,0.0,0.0,250.0
3.0,0.3235955056179775,0.576,0.4143884892086331,250.0
accuracy,0.314,0.314,0.314,0.314
macro avg,0.15747545298107096,0.314,0.2091871844139595,1000.0
weighted avg,0.15747545298107093,0.314,0.20918718441395953,1000.0
