,precision,recall,f1-score,support
0.0,0.8597785977859779,0.932,0.8944337811900193,250.0
1.0,0.9,0.9,0.9,250.0
2.0,0.9107142857142857,0.816,0.8607594936708861,250.0
3.0,0.9411764705882353,0.96,0.9504950495049505,250.0
accuracy,0.902,0.902,0.902,0.902
macro avg,0.9029173385221247,0.902,0.9014220810914639,1000.0
weighted avg,0.9029173385221247,0.902,0.9014220810914639,1000.0
