,precision,recall,f1-score,support
0.0,0.9958333333333333,0.956,0.9755102040816326,250.0
1.0,0.9467680608365019,0.996,0.9707602339181287,250.0
2.0,0.9573643410852714,0.988,0.9724409448818899,250.0
3.0,0.9916317991631799,0.948,0.969325153374233,250.0
accuracy,0.972,0.972,0.972,0.972
macro avg,0.9728993836045716,0.972,0.972009134063971,1000.0
weighted avg,0.9728993836045716,0.972,0.972009134063971,1000.0
