,precision,recall,f1-score,support
0.0,0.9881422924901185,1.0,0.9940357852882703,250.0
1.0,0.9959839357429718,0.992,0.9939879759519038,250.0
2.0,1.0,0.984,0.9919354838709677,250.0
3.0,0.9880952380952381,0.996,0.9920318725099602,250.0
accuracy,0.993,0.993,0.993,0.993
macro avg,0.9930553665820822,0.993,0.9929977794052756,1000.0
weighted avg,0.9930553665820822,0.993,0.9929977794052756,1000.0
